Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGpct,Threes,ThreesA,Threepct,Twos,TwosA,Twopct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
200,Joe Harris,SG,32,DET,15,0,10.5,0.9,2.4,36.1%,0.7,1.9,34.5%,0.2,0.5,0.429,50.0%,0.1,0.1,50.0%,0.2,0.7,0.9,0.7,0.2,0.1,0.3,1.2,2.5,harrijo01
201,Tobias Harris,PF,31,PHI,38,38,34,6.8,13.1,51.7%,1.3,3.4,37.4%,5.5,9.7,0.568,56.6%,3,3.3,89.8%,1,5.1,6.1,3.1,0.9,0.6,1.6,1.7,17.9,harrito02
202,Shaquille Harrison,SG,30,MEM,3,0,2,0.3,0.7,50.0%,0,0,0.0%,0.3,0.7,0.5,50.0%,0,0,0.0%,0,0.7,0.7,0,0,0.3,0,0,0.7,harrish01
203,Josh Hart,SF,28,NYK,41,6,28.2,2.9,6.5,44.0%,0.9,2.8,31.9%,2,3.8,0.529,50.7%,0.7,0.8,79.4%,1.3,5.1,6.4,2.7,0.8,0.2,1.2,2,7.3,hartjo01
204,Isaiah Hartenstein,C,25,NYK,42,16,25.6,2.7,4.4,60.9%,0,0.1,33.3%,2.6,4.3,0.613,61.1%,1.4,2,69.9%,3.4,5.2,8.6,2,1.2,1.1,1.2,2.9,6.7,harteis01
205,Sam Hauser,SF,26,BOS,40,4,21.9,2.9,6.5,44.4%,2.3,5.6,41.3%,0.6,1,0.632,62.1%,0.3,0.3,84.6%,0.7,3,3.7,0.9,0.4,0.3,0.5,1.4,8.4,hausesa01
206,Jordan Hawkins,SG,21,NOP,37,10,22.1,3.6,8.8,41.2%,2.2,5.6,39.2%,1.4,3.1,0.448,53.8%,1.5,1.8,83.6%,0.6,2.2,2.8,1.4,0.4,0.1,0.8,1.5,11,hawkijo01
207,Jaxson Hayes,C,23,LAL,33,1,10.1,1.2,1.9,66.1%,0,0.1,0.0%,1.2,1.8,0.707,66.1%,0.5,0.8,53.6%,0.5,1.3,1.8,0.4,0.2,0.4,0.5,1.8,2.9,hayesja02
208,Killian Hayes,PG,22,DET,36,26,24.9,3,7.3,40.9%,0.5,1.9,27.9%,2.5,5.4,0.454,44.5%,0.9,1.3,68.1%,0.3,2.5,2.8,4.9,0.9,0.5,1.2,1.8,7.4,hayeski01
209,Gordon Hayward,SF,33,CHO,25,25,31.9,5.6,11.9,46.8%,0.9,2.4,36.1%,4.7,9.4,0.496,50.5%,2.5,3.2,76.5%,1,3.7,4.7,4.6,1.1,0.5,2,1.8,14.5,haywago01
210,Scoot Henderson,PG,19,POR,31,15,28.1,4.5,12.5,36.1%,1.2,4.1,29.9%,3.3,8.4,0.391,41.0%,2.3,3.1,74.0%,1,2.2,3.1,4.9,0.6,0.2,3.3,3.3,12.5,hendesc01
211,Taylor Hendricks,PF,20,UTA,13,0,13.9,1.8,4.5,39.7%,0.9,2.7,34.3%,0.8,1.8,0.478,50.0%,0.5,0.6,75.0%,0.8,1.4,2.2,0.5,0.7,0.5,0.7,0.9,4.9,hendrita01
212,Tyler Herro,SG,24,MIA,22,22,34,8.3,19.1,43.6%,3.2,8,40.1%,5.1,11,0.461,52.0%,2.5,3,84.6%,0.6,5.1,5.7,4.3,1.2,0.1,2.5,1.5,22.4,herroty01
213,Buddy Hield,SF,31,IND,41,20,25.8,4.7,10.6,44.1%,2.8,7.3,37.9%,1.9,3.3,0.578,57.2%,0.6,0.7,86.7%,0.7,2.5,3.2,2.6,0.8,0.6,1.4,2,12.7,hieldbu01
214,Haywood Highsmith,PF,27,MIA,27,17,21.5,2.2,5.2,42.1%,1.1,3.1,36.1%,1.1,2.1,0.509,52.9%,0.6,0.7,80.0%,0.9,2.1,3,1.3,1,0.6,0.7,2,6.1,highsha01
215,Nate Hinton,SG,24,HOU,5,0,5.2,0.8,1.8,44.4%,0.8,1,80.0%,0,0.8,0,66.7%,0,0,0.0%,0.4,0.6,1,0.2,0,0,0.2,1,2.4,hintona01
216,D'Moi Hodge,SG,25,LAL,7,0,5.9,0.7,2.1,33.3%,0.4,1.7,25.0%,0.3,0.4,0.667,43.3%,0.1,0.3,50.0%,0,0,0,0.7,0.1,0.1,0.1,0.6,2,hodgedm01
217,Aaron Holiday,PG,27,HOU,38,1,16.7,2.3,5.3,43.1%,1.2,2.9,39.6%,1.1,2.4,0.473,54.0%,0.6,0.7,88.5%,0.3,1.6,1.8,1.6,0.5,0.1,0.7,1.4,6.3,holidaa01
218,Jrue Holiday,PG,33,BOS,38,38,33.8,5,11,45.6%,2,4.8,42.0%,3,6.3,0.483,54.7%,1.2,1.5,82.1%,1.5,4.8,6.3,4.6,0.8,0.8,1.9,1.7,13.3,holidjr01
219,Justin Holiday,SG,34,DEN,24,6,13.5,1.4,2.8,49.3%,0.9,2,44.7%,0.5,0.8,0.6,64.9%,0,0,0.0%,0.2,1,1.2,1,0.6,0,0.3,1.2,3.6,holidju01
220,Richaun Holmes,C,30,DAL,17,1,10.1,1.4,2.7,50.0%,0,0,0.0%,1.4,2.7,0.5,50.0%,0.5,1.1,50.0%,1.5,2.1,3.6,0.5,0.1,0.4,0.6,1.3,3.2,holmeri01
221,Chet Holmgren,C,21,OKC,41,41,30,6.6,12.1,54.2%,1.6,4.2,38.5%,4.9,7.9,0.627,61.0%,2.6,3.3,78.7%,1.4,5.8,7.2,2.8,0.6,2.5,1.8,2.7,17.4,holmgch01
222,Jalen Hood-Schifino,SG,20,LAL,9,0,8.3,0.8,3.4,22.6%,0.1,1,11.1%,0.7,2.4,0.273,24.2%,0.6,1.1,50.0%,0.2,0.7,0.9,0.6,0.2,0.1,0.6,1,2.2,hoodsja01
223,Al Horford,C,37,BOS,34,16,27.1,2.9,6,49.0%,1.6,3.9,41.2%,1.4,2.1,0.63,62.3%,0.4,0.4,85.7%,1.4,5.4,6.8,2.9,0.5,1,0.8,1.6,7.8,horfoal01
224,Talen Horton-Tucker,PG,23,UTA,30,11,22,4.1,10,41.1%,1.2,3.7,33.3%,2.9,6.3,0.457,47.3%,1.6,2,78.7%,0.4,2.1,2.5,4.2,1.1,0.4,1.7,2.1,11,hortota01
225,Danuel House Jr.,SF,30,PHI,24,0,12.7,1.2,2.8,42.4%,0.5,1.4,35.3%,0.7,1.3,0.5,51.5%,0.7,0.9,77.3%,0.4,1.1,1.5,0.8,0.3,0,0.6,1,3.5,houseda01
226,Caleb Houstan,SF,21,ORL,32,6,16,1.7,4.4,38.0%,1.5,4.2,35.3%,0.2,0.3,0.778,54.6%,0.5,0.7,77.3%,0.6,1.2,1.8,0.7,0.3,0,0.3,1.3,5.4,houstca01
227,Jett Howard,SF,20,ORL,9,0,4,0.6,1.8,31.3%,0.3,1.3,25.0%,0.2,0.4,0.5,40.6%,0.1,0.2,50.0%,0.1,0.3,0.4,0.3,0,0,0.2,0.1,1.6,howarje01
228,Kevin Huerter,SG,25,SAC,39,34,23.8,3.9,8.9,44.0%,1.9,5.4,35.8%,2,3.5,0.566,54.9%,0.7,0.8,81.8%,0.5,3.2,3.7,2.5,0.6,0.3,0.6,2.2,10.5,huertke01
229,Jay Huff,C,25,DEN,5,0,2.4,0.4,0.8,50.0%,0,0.4,0.0%,0.4,0.4,1,50.0%,0,0,0.0%,0,0.2,0.2,0.2,0,0,0.2,0.6,0.8,huffja01
230,De'Andre Hunter,SF,26,ATL,24,24,30.3,5.1,11,46.0%,1.9,4.8,40.4%,3.2,6.3,0.503,54.7%,2.8,3.1,90.7%,0.6,3.5,4.1,1.4,0.8,0.4,1.5,3,14.9,huntede01
231,Bones Hyland,PG,23,LAC,16,2,14.6,2.6,6.7,39.3%,1.3,3.4,36.4%,1.4,3.3,0.423,48.6%,0.6,0.8,83.3%,0.1,0.8,0.9,1.8,0.5,0.1,1.3,1.4,7.1,hylanbo01
